user_id,name,age,location,experience_years,skills
U001,User_1,42,Los Angeles,11,"c#, c++, django"
U002,User_2,37,Miami,1,"ios, kotlin"
U003,User_3,42,Los Angeles,15,"python, docker"
U004,User_4,35,Los Angeles,3,"c#, kubernetes, typescript, react"
U005,User_5,29,Miami,2,"django, kubernetes, node.js, html, sql"
U006,User_6,36,Miami,11,"html, flask"
U007,User_7,40,Miami,3,"html, flask, java, css"
U008,User_8,24,Miami,11,"css, node.js"
U009,User_9,34,Houston,13,"aws, java, c#, docker, react"
U010,User_10,41,Houston,8,"kubernetes, ios"
U011,User_11,43,Chicago,11,"typescript, kubernetes, ios, android, html"
U012,User_12,49,Los Angeles,3,"flask, django, node.js, kubernetes"
U013,User_13,39,New York,9,"c#, django, java, css"
U014,User_14,33,Houston,5,"android, node.js, javascript, aws, docker"
U015,User_15,46,Los Angeles,3,"react, aws, c#, kotlin, html"
U016,User_16,48,Chicago,10,"ios, kotlin"
U017,User_17,46,Los Angeles,13,"kubernetes, django, html, c++, node.js"
U018,User_18,27,Chicago,11,"c#, docker"
U019,User_19,45,Houston,12,"docker, c#, flask, django"
U020,User_20,25,Chicago,4,"react, swift"
U021,User_21,39,Los Angeles,11,"node.js, javascript, android"
U022,User_22,34,New York,5,"c#, ios, react, typescript, django"
U023,User_23,38,Houston,15,"aws, css, html"
U024,User_24,29,New York,10,"flask, swift, html, kubernetes, docker"
U025,User_25,48,New York,15,"aws, ios"
U026,User_26,34,Miami,1,"kubernetes, flask"
U027,User_27,22,Houston,5,"react, swift"
U028,User_28,44,New York,1,"python, swift"
U029,User_29,31,Miami,10,"aws, java, c#, docker, react"
U030,User_30,25,Chicago,2,"android, c#"
U031,User_31,45,Los Angeles,4,"javascript, django, css, ios"
U032,User_32,34,Chicago,12,"flask, android, c++"
U033,User_33,47,Chicago,13,"kubernetes, ios"
U034,User_34,45,New York,15,"node.js, docker, html"
U035,User_35,43,Houston,1,"javascript, aws, typescript, java"
U036,User_36,44,Houston,15,"node.js, docker, html"
U037,User_37,37,Miami,15,"sql, python, java, node.js, aws"
U038,User_38,24,Chicago,11,"c#, docker"
U039,User_39,42,Miami,3,"javascript, docker, java"
U040,User_40,37,Chicago,3,"css, c#, c++"
U041,User_41,50,Miami,11,"ios, kotlin"
U042,User_42,30,Los Angeles,8,"html, c++, css, ios"
U043,User_43,29,Miami,11,"ios, docker"
U044,User_44,46,Houston,5,"node.js, html"
U045,User_45,34,Chicago,9,"ios, swift, kotlin"
U046,User_46,35,Chicago,6,"css, swift, sql, ios, docker"
U047,User_47,50,Houston,10,"react, c#"
U048,User_48,42,Houston,5,"java, c#, python, kubernetes"
U049,User_49,48,Los Angeles,10,"c#, ios, react, typescript, django"
U050,User_50,22,Miami,12,"flask, android, c++"
U051,User_51,24,Houston,2,"docker, java, swift, python, c#"
U052,User_52,38,Chicago,7,"java, flask, docker, c++"
U053,User_53,39,Los Angeles,11,"docker, swift, javascript"
U054,User_54,25,Chicago,13,"docker, swift, javascript"
U055,User_55,28,Houston,2,"css, swift, sql, ios, docker"
U056,User_56,23,Chicago,8,"django, docker, ios, node.js"
U057,User_57,27,New York,11,"html, c#"
U058,User_58,44,Miami,10,"sql, html, django, react"
U059,User_59,50,Miami,5,"react, node.js, css, flask, docker"
U060,User_60,36,Chicago,12,"c++, aws"
U061,User_61,39,Houston,15,"docker, java, swift, python, c#"
U062,User_62,49,Miami,15,"kubernetes, typescript, java, ios"
U063,User_63,36,Los Angeles,11,"kubernetes, sql, aws"
U064,User_64,31,Houston,13,"python, c++, c#, kubernetes"
U065,User_65,50,Chicago,3,"ios, html, kotlin, node.js, django"
U066,User_66,36,Houston,11,"java, docker"
U067,User_67,39,Chicago,9,"html, java, python, sql, aws"
U068,User_68,24,Houston,13,"react, c#"
U069,User_69,48,Miami,12,"typescript, flask"
U070,User_70,37,Chicago,10,"android, sql"
U071,User_71,46,New York,14,"javascript, django, css, ios"
U072,User_72,42,New York,11,"docker, kotlin, node.js, kubernetes, css"
U073,User_73,30,Los Angeles,6,"c#, kubernetes, typescript, react"
U074,User_74,26,Miami,8,"javascript, aws, typescript, java"
U075,User_75,23,Houston,4,"kotlin, aws, typescript"
U076,User_76,28,Miami,9,"c++, aws"
U077,User_77,29,Miami,12,"html, flask"
U078,User_78,22,Houston,5,"python, html, sql"
U079,User_79,27,Los Angeles,15,"kotlin, aws, typescript"
U080,User_80,25,New York,8,"sql, html, django, react"
U081,User_81,47,Miami,8,"docker, c#, flask, django"
U082,User_82,32,Miami,4,"android, kubernetes, aws, django"
U083,User_83,24,Chicago,2,"css, c#, c++"
U084,User_84,25,Houston,2,"kotlin, sql, javascript"
U085,User_85,43,Houston,8,"c#, django, java, css"
U086,User_86,36,Miami,9,"flask, swift, html, kubernetes, docker"
U087,User_87,29,Houston,14,"html, c++, css, ios"
U088,User_88,22,New York,2,"python, html, node.js"
U089,User_89,24,New York,12,"flask, swift, html, kubernetes, docker"
U090,User_90,43,Miami,14,"ios, html, kotlin, node.js, django"
U091,User_91,44,New York,8,"javascript, aws, typescript, java"
U092,User_92,45,New York,7,"javascript, aws, typescript, java"
U093,User_93,49,New York,5,"c++, aws"
U094,User_94,45,New York,11,"aws, android, kotlin, sql, css"
U095,User_95,34,New York,1,"html, java, python, sql, aws"
U096,User_96,36,Houston,13,"html, java, python, sql, aws"
U097,User_97,27,Chicago,5,"kubernetes, django, html, c++, node.js"
U098,User_98,45,Los Angeles,7,"android, kubernetes, aws, django"
U099,User_99,26,Houston,4,"html, flask, java, css"
U100,User_100,42,Miami,3,"python, c#, flask, node.js, docker"
